setting_id,scenario,n,delta,local_c,censoring,censor_u,defier_rate,finite_jump,theorem_valid,seed_group,true_effect,reps,wald_coverage,score_coverage,wald_mean_length,wald_median_length,wald_p90_length,wald_p95_length,wald_p99_length,score_mean_length,score_median_length,score_p90_length,score_full_set,score_disconnected,score_empty,mean_first_stage,sd_first_stage,first_stage_near_zero,realized_censoring,cause1_event_rate,ratio_bias,ratio_rmse,ratio_median_abs_error,score_coverage_mcse,wald_coverage_mcse
1,core,500,0.05,,0.0,0.0,0.0,True,True,1,-0.09649172685174347,5000,0.9992,0.9534,9133.869053451286,5.163288562676807,96.18563060707541,391.806220969244,10582.505752018573,1.8612781360278674,2.0,2.0,0.8032,0.0194,0.0008,0.03584772454313937,0.04059214426892966,0.137,0.0,0.28230599999999995,0.21430750140915852,55.11082241348767,0.7127568280615519,0.0029808871162793123,0.0003998399679871993
2,core,500,0.05,,0.3,0.0,0.0,True,True,2,-0.09649172685174347,5000,0.999,0.9478,13181.839893066546,5.4750916516940515,85.29929064180018,317.0320179583707,4606.274847476513,1.8634409767621982,2.0,2.0,0.8064,0.0176,0.0008,0.03589418267431468,0.04126840800806082,0.1312,0.2998068,0.28223200000000004,-0.0771711936411332,63.66065030978222,0.7533911450283752,0.003145636978419475,0.0004469899327725404
3,core,1000,0.05,,0.0,0.0,0.0,True,True,3,-0.09649172685174347,5000,0.999,0.9488,7213.516332335318,3.7552115052164274,42.68996600207643,162.4675276045983,2850.0928777785957,1.8149432343074863,2.0,2.0,0.7214,0.0156,0.0004,0.03504876726419791,0.02944328707803679,0.138,0.0,0.28239380000000003,0.5796812933200785,58.08188602384502,0.5607796595018137,0.0031170036894427964,0.0004469899327725404
4,core,1000,0.05,,0.3,0.0,0.0,True,True,4,-0.09649172685174347,5000,0.9988,0.9462,1064.299673697651,3.9236081139041876,40.58571240583582,160.82207854341902,4135.779969985246,1.8247057763354249,2.0,2.0,0.7344,0.0134,0.0004,0.03573815366490997,0.028956275377772855,0.127,0.29990459999999997,0.2822402,-0.32424293211463545,19.112964776577087,0.5908392281660918,0.0031907854832313614,0.0004896039215529179
5,core,500,0.15,,0.0,0.0,0.0,True,True,5,-0.09649172685174347,5000,0.992,0.9454,17.77340201755736,1.552386324591049,3.670020769102587,5.704933069519065,35.01453679366579,1.530494324901927,1.5134127250003835,2.0,0.3034,0.0024,0.0,0.1073621244647339,0.042675427540023146,0.0068,0.0,0.27919160000000004,-0.023943058360975197,2.1386769945083137,0.2573994112251317,0.003213062090903317,0.0012598412598418905
6,core,500,0.15,,0.3,0.0,0.0,True,True,6,-0.09649172685174347,5000,0.9928,0.9448,225.3287376188212,1.6887173618974531,3.980749045014905,6.491380516334121,34.14211489902363,1.5687823205014475,1.5878512495201358,2.0,0.3178,0.003,0.0,0.10635862435896358,0.042223190040329185,0.0076,0.29985,0.278858,-0.11271088822211736,7.567256385076561,0.27471323877378134,0.0032296427046966053,0.0011956721958797892
7,core,1000,0.15,,0.0,0.0,0.0,True,True,7,-0.09649172685174347,5000,0.9782,0.9468,3.6870611081975526,1.0752508936569052,1.7667988760203328,2.1944732990721656,3.8130431735047785,1.2261811727449088,1.1587532507058793,1.7963639011336852,0.0708,0.0002,0.0,0.10689113859323979,0.029876704965572723,0.0002,0.0,0.27860880000000005,0.007399821066672215,0.9185860982883609,0.18671105871806729,0.003173948959892078,0.002065176021553613
8,core,1000,0.15,,0.3,0.0,0.0,True,True,8,-0.09649172685174347,5000,0.9824,0.9486,1.3784733598284957,1.1603814443908387,1.9213746012672217,2.319663199032583,3.9136000749630684,1.2803718617835227,1.202602995869333,1.908230449266422,0.0862,0.0,0.0,0.10624147562469625,0.02988178614109096,0.0006,0.2999528,0.2787512,-0.018417151091306042,0.35882839033767117,0.19643998419648054,0.0031227564746550444,0.0018595827488982549
9,core,500,0.35,,0.0,0.0,0.0,True,True,9,-0.09649172685174347,5000,0.9648,0.953,0.6566761238391541,0.6354591172744708,0.8208356987472853,0.8997031076879669,1.0896047146396146,0.7052024026567436,0.6758892156235182,0.9099030499752121,0.0006,0.0,0.0,0.2491403622623367,0.04250837479101546,0.0,0.0,0.27188,-0.004077405074730341,0.16721893930554105,0.10840533175762879,0.002993025225419928,0.00260618341641566
10,core,500,0.35,,0.3,0.0,0.0,True,True,10,-0.09649172685174347,5000,0.9636,0.9488,0.7022992297085718,0.6748015086076803,0.8870107073680387,0.9724532475295409,1.1622200502865763,0.75030603958138,0.7166441358350353,0.9710087789773396,0.0008,0.0,0.0,0.24950717159214555,0.04320805078231384,0.0,0.29999039999999993,0.2717564,-0.0011240892479257058,0.17898084444407714,0.11407956221315022,0.0031170036894427964,0.0026485860378700175
